,satur index,sterol conc,particle,starting conf,compress,perm,perm err,thickness
135,0.4,30,S,LOrdered,75.03639436301091,23.473611860443782,4.495623319552886,4.093929077502803
136,0.35,30,S,LOrdered,79.89890495583798,23.707168289308125,4.274162138776797,4.1386478417186225
137,0.0,0,R,gel,413.2579325193464,0.031176805918844214,579.1790424707423,5.008595719780239
138,0.0,0,R,fluid,1.6487703258675679,29.211924914491778,5.186342593006546,4.943787807041513
139,0.45,0,R,gel,301.3543802633313,0.2304886799430463,3.2416103528164624,4.91283106152353
140,0.45,0,R,fluid,57.93397517242204,78.86520056584948,17.00145673847051,3.894656567613307
141,0.3,0,R,gel,309.1650749340097,0.0005814213244393565,0.0008344424689577966,4.95551317881538
142,0.3,0,R,fluid,57.202077302708254,79.69157463571293,20.81262070097229,4.001052821010816
143,0.05,0,R,gel,311.94479782856234,0.45664769663146926,1.7320038730244172,4.987671423956478
144,0.05,0,R,fluid,56.16959506475849,64.13416589485009,16.638512701559378,4.2741059836954065
145,0.25,0,R,gel,300.8976452703479,0.00039880351661668594,0.0007575818432488898,4.959300191853977
146,0.25,0,R,fluid,55.10244943236296,35.063557678676176,6.560200420536631,4.04404559622553
147,0.15,0,R,gel,286.63183249006545,0.0016991499505093566,0.9202281531907935,4.976409944976744
148,0.15,0,R,fluid,58.347036503090315,46.891443329437195,10.627537677997257,4.144278309186742
149,0.35,0,R,gel,283.58825768602463,0.02966345377377961,1.878414522753173,4.934856919522893
150,0.35,0,R,fluid,56.9547466473625,80.32671524617014,20.649704106599508,3.961618539906066
151,0.4,0,R,gel,316.41150109019134,0.00042014424638775477,0.002313887127257494,4.933558737285974
152,0.4,0,R,fluid,57.31565009846345,66.95242824141609,18.113554476157088,3.92530970972053
153,0.2,0,R,gel,321.5212404803194,1.5095262299810492,10.688865802883525,4.969172430146614
154,0.2,0,R,fluid,57.54543633126965,59.768733177002574,14.151793331667188,4.090288283296935
155,0.5,0,R,gel,246.41018223857327,0.04509952094709173,0.06498927700248794,4.883829749911413
156,0.5,0,R,fluid,57.24858789497299,91.43128744021864,27.621029701181413,3.869069712137268
157,0.1,0,R,gel,315.2733599983609,5.3300288798982344e-06,0.00014113257609843976,4.986143558703496
158,0.1,0,R,fluid,57.113582995462906,54.21583130040679,13.166225746009873,4.205329316762118
159,0.0,0,T,gel,339.6816774940455,0.2887352815002643,0.06779138534451642,5.000832237844879
160,0.0,0,T,fluid,5.1184169930560826,5.162507604944677,1.3646266494435295,5.00548225697214
161,0.45,0,T,gel,255.96183691628377,0.7133348399304681,0.12984606501537124,4.9125993190080415
162,0.45,0,T,fluid,59.67824477127611,43.03759284653456,6.974976296537766,3.8989492075191485
163,0.3,0,T,gel,317.1522267892642,0.590937399955272,0.13570633582283156,4.960910256071152
164,0.3,0,T,fluid,57.451309962538666,31.721166325204983,5.466525517329269,3.9990192861563685
165,0.05,0,T,gel,345.17390247818633,0.2995325122524787,0.08331677523615454,4.993014834000228
166,0.05,0,T,fluid,56.96425154236474,23.288453150226136,3.9168873720362667,4.275663441721207
167,0.25,0,T,gel,300.7518969379917,0.34846848679329784,0.12443504683154932,4.962361323994571
168,0.25,0,T,fluid,58.47128807832617,25.653329631475493,4.560515190304744,4.043874467061961
169,0.15,0,T,gel,300.95865475959664,0.38938595094653383,0.13785695939361636,4.979465215433308
170,0.15,0,T,fluid,58.12663613153976,33.87733851241267,6.664052200425149,4.143786963685731
171,0.35,0,T,gel,346.8115673394999,0.4755313565570256,0.12561730300575114,4.942515832040758
172,0.35,0,T,fluid,57.2767044764907,32.83915312354296,5.880913640575666,3.9606112592882283
173,0.4,0,T,gel,315.1778875965497,0.7594176550675817,0.21994053846946118,4.934538307782436
174,0.4,0,T,fluid,57.89899924059543,32.243111035230974,5.188113504856533,3.9265323197612574
175,0.2,0,T,gel,308.5193840822973,0.3595155179182209,0.09394076022425901,4.9707548205752445
176,0.2,0,T,fluid,56.83773825155154,34.82564910801467,6.0040814333897945,4.090103007265718
177,0.5,0,T,gel,267.7044107399558,0.7458686719653183,0.14587678415078675,4.89399118780241
178,0.5,0,T,fluid,58.122101132312594,38.457313625381,6.209648428812844,3.8705417583503596
179,0.1,0,T,gel,315.34120568846646,0.2623222148481158,0.07244075285017353,4.984536629244289
180,0.1,0,T,fluid,57.42426429510737,32.02036264015941,6.15789130554788,4.204155106689072
181,0.0,0,S,gel,328.98098789442395,0.06109931776972941,0.02050250983012612,4.996088135259164
182,0.0,0,S,fluid,3.9266836228228494,7.678913255730968,2.303661054701352,4.995207553766889
183,0.45,0,S,gel,283.6993684700095,0.18943012820824856,0.0937456073226742,4.911389536887064
184,0.45,0,S,fluid,58.38710548969229,55.803529774033414,9.393880119901041,3.8970885489493625
185,0.3,0,S,gel,311.91694972171575,0.23941008477999984,0.18932273552544018,4.96771331379162
186,0.3,0,S,fluid,56.364785512698944,35.716152100003654,5.771894158319316,3.9990270317747374
187,0.05,0,S,gel,335.89428781940984,0.04605356067825428,0.040755907564383416,4.998883278501541
188,0.05,0,S,fluid,57.75093026556572,29.284860611990037,5.297638709492411,4.276121648149907
189,0.25,0,S,gel,320.19163170299544,0.06882650512246398,0.03817237600587244,4.960514178898393
190,0.25,0,S,fluid,57.204396082458246,47.5863754727992,10.402784195358285,4.044960773971862
191,0.15,0,S,gel,292.7113984573439,0.08375714268108303,0.05786966949318818,4.981557057644096
192,0.15,0,S,fluid,56.36517350220159,30.964760242571113,8.334804329541617,4.144519342963346
193,0.35,0,S,gel,313.1070639001963,0.07343333750477858,0.453977612193217,4.942846819126945
194,0.35,0,S,fluid,58.22249004299538,33.2315804457095,6.692151621497214,3.961739957971094
